0.40, 0.140
0.45, 0.129
0.50, 0.123
0.55, 0.110
0.60, 0.103
0.65, 0.098
0.70, 0.092
0.75, 0.086
0.80, 0.083
0.85, 0.080
0.90, 0.076
0.95, 0.073
1.00, 0.070
